codigo,nombre,descripcion,unidad,categoria,imagen,ubicacion_bio,cantidad_bio,ubicacion_agr,cantidad_agr,mrp
300000000028,BARRA DIRECCION 84296591 CNH,BARRA DIRECCION 84296591 CNH,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000028.png, , , ,0,
300000000029,BARRA VIA COMPLETO 5177449,BARRA VIA COMPLETO 5177449,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000029.png, , ,PATC3P1*,1,
300000000030,SOP RODILLO ALIMENTADOR CB11459302 JD,SOP RODILLO ALIMENTADOR CB11459302 JD,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000030.png, , , ,0,
300000000031,BIBINAS SELENOIDE DE 12 VOLTIOS,BIBINAS SELENOIDE DE 12 VOLTIOS,UN,G-7 / Materiales Electricos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000031.png, , , ,0,
300000000032,BLOQUE CONTROL FLOT 1G138629 SEMB CIVEMA,BLOQUE CONTROL FLOT 1G138629 SEMB CIVEMA,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000032.png, , , ,0,
300000000033,BOLA ENGANCHE SERMAG (REF 000010),BOLA ENGANCHE SERMAG (REF 000010),UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000033.png, , , ,0,
300000000034,BOLA PARA TIRO DE TRACTOR CASE,BOLA PARA TIRO DE TRACTOR CASE,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000034.png, , , ,0,
300000000035,BOMBA  AGUA RE505980 JD O RE546906 JD,BOMBA  AGUA RE505980 JD O RE546906 JD,UN,G-12 / Bombas,https://ik.imagekit.io/7ypnvn8as/materiales/300000000035.png, , ,,0,
300000000036,BOMBA AGUA 2856893 CNH,BOMBA AGUA 2856893 CNH,UN,G-12 / Bombas,https://ik.imagekit.io/7ypnvn8as/materiales/300000000036.png, , ,C401B15*,2,
300000000037,BOMBA AL 79013 JD,BOMBA AL 79013 JD,UN,G-12 / Bombas,https://ik.imagekit.io/7ypnvn8as/materiales/300000000037.png, , , ,0,
300000000038,BOMBA COMBUSTIBLE RE53572 JD O RE545665,BOMBA COMBUSTIBLE RE53572 JD O RE545665,UN,G-12 / Bombas,https://ik.imagekit.io/7ypnvn8as/materiales/300000000038.png, , ,C203B04*,0,
300000000039,BOMBA ELECTRICA 84292582 CNH,BOMBA ELECTRICA 84292582 CNH,UN,G-12 / Bombas,https://ik.imagekit.io/7ypnvn8as/materiales/300000000039.png, , ,C401A12*,0,
300000000040,BOMBA ELECTRICA RE532519 JD,BOMBA ELECTRICA RE532519 JD,UN,G-12 / Bombas,https://ik.imagekit.io/7ypnvn8as/materiales/300000000040.png, , , ,0,
300000000041,BRAZO SURCADOR DE SEMBRADORA,BRAZO SURCADOR DE SEMBRADORA,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000041.png, , , ,0,
300000000042,BRONCE 1781685 CAT,BRONCE 1781685 CAT,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000042.png, , ,C301A08*,13,
300000000043,BRONCE 5T8366 CAT,BRONCE 5T8366 CAT,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000043.png, , ,C301A09*,1,
300000000044,BUGES GUIA GUARDA POLVO SEMBRADORA,BUGES GUIA GUARDA POLVO SEMBRADORA,UN,G-20 / Aceros ,https://ik.imagekit.io/7ypnvn8as/materiales/300000000044.png, , , ,0,
300000000045,BUJE C. BRA DES. CAÑA 74.15 MM X 50 MM,BUJE C. BRA DES. CAÑA 74.15 MM X 50 MM,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000045.png, , , ,0,
300000000046,BUJE C. BRAZO DES. CAÑA 76 MM X 64 MM,BUJE C. BRAZO DES. CAÑA 76 MM X 64 MM,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000046.png, , , ,0,
300000000047,BUJE GATO GIRO R81488 JD,BUJE GATO GIRO R81488 JD,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000047.png, , ,C301A10*,3,
300000000048,BUJE PLUMA  BOOM  AT119081 JD,BUJE PLUMA  BOOM  AT119081 JD,UN,G-20 / Aceros ,https://ik.imagekit.io/7ypnvn8as/materiales/300000000048.png, , , ,0,
300000000049,BUJE PLUMA  BOOM 0111334420 JD,BUJE PLUMA  BOOM 0111334420 JD,UN,G-20 / Aceros ,https://ik.imagekit.io/7ypnvn8as/materiales/300000000049.png, , , ,0,
300000000050,BUJE SOPORTE SIN FIN AT216076  JD,BUJE SOPORTE SIN FIN AT216076  JD,UN,G-20 / Aceros ,https://ik.imagekit.io/7ypnvn8as/materiales/300000000050.png, , ,C302C06*,5,
